         nH         pok         xH2        xHII          xe      chi_pe      chi_lw      chi_h2      chi_ci       xi_cr     nLambda       Gamma 
1.00000e-02 9.07249e+01 1.72247e-10 6.68591e-02 6.70405e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 1.44060e-27 1.44850e-27 
1.12202e-02 1.00595e+02 1.96401e-10 6.32602e-02 6.34404e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 1.50321e-27 1.51321e-27 
1.25893e-02 1.11719e+02 2.23194e-10 6.02326e-02 6.04118e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 1.56360e-27 1.56980e-27 
1.41254e-02 1.23682e+02 2.55229e-10 5.67232e-02 5.69013e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 1.64139e-27 1.64620e-27 
1.58489e-02 1.36850e+02 2.92082e-10 5.34007e-02 5.35778e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 1.72306e-27 1.72688e-27 
1.77828e-02 1.51311e+02 3.34590e-10 5.02512e-02 5.04273e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 1.80909e-27 1.81221e-27 
1.99526e-02 1.67153e+02 3.83771e-10 4.72609e-02 4.74360e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 1.89989e-27 1.90250e-27 
2.23872e-02 1.84451e+02 4.40870e-10 4.44183e-02 4.45925e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 1.99586e-27 1.99807e-27 
2.51189e-02 2.03276e+02 5.07413e-10 4.17135e-02 4.18868e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 2.09734e-27 2.09924e-27 
2.81838e-02 2.23682e+02 5.85285e-10 3.91379e-02 3.93104e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 2.20470e-27 2.20629e-27 
3.16228e-02 2.45706e+02 6.76813e-10 3.66841e-02 3.68559e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 2.31825e-27 2.31956e-27 
3.54813e-02 2.69369e+02 7.84867e-10 3.43459e-02 3.45169e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 2.43834e-27 2.43934e-27 
3.98107e-02 2.94677e+02 9.12988e-10 3.21180e-02 3.22883e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 2.56529e-27 2.56598e-27 
4.46684e-02 3.21621e+02 1.06554e-09 2.99961e-02 3.01657e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 2.69940e-27 2.69982e-27 
5.01187e-02 3.50149e+02 1.24806e-09 2.79717e-02 2.81407e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 2.83788e-27 2.84416e-27 
5.62341e-02 3.80285e+02 1.46687e-09 2.60540e-02 2.62224e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 2.98826e-27 2.99259e-27 
6.30957e-02 4.11894e+02 1.73069e-09 2.42319e-02 2.43997e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 3.14662e-27 3.14919e-27 
7.07946e-02 4.44862e+02 2.05017e-09 2.25023e-02 2.26695e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 3.31326e-27 3.31444e-27 
7.94328e-02 4.79021e+02 2.43892e-09 2.08618e-02 2.10285e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 3.48853e-27 3.48885e-27 
8.91251e-02 5.14137e+02 2.91450e-09 1.93061e-02 1.94723e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 3.67087e-27 3.67495e-27 
1.00000e-01 5.49888e+02 3.49977e-09 1.78351e-02 1.80008e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 3.86589e-27 3.86736e-27 
1.12202e-01 5.85877e+02 4.22469e-09 1.64438e-02 1.66090e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 4.07023e-27 4.07042e-27 
1.25893e-01 6.21675e+02 5.12810e-09 1.51287e-02 1.52935e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 4.28354e-27 4.28579e-27 
1.41254e-01 6.56724e+02 6.26203e-09 1.38887e-02 1.40532e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 4.50959e-27 4.50982e-27 
1.58489e-01 6.90507e+02 7.69408e-09 1.27204e-02 1.28845e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 4.74556e-27 4.74718e-27 
1.77828e-01 7.22399e+02 9.51516e-09 1.16225e-02 1.17863e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 4.99482e-27 4.99479e-27 
1.99526e-01 7.51870e+02 1.18443e-08 1.05928e-02 1.07562e-02 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 5.25579e-27 5.25605e-27 
2.23872e-01 7.78387e+02 1.48399e-08 9.62971e-03 9.79279e-03 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 5.52990e-27 5.53057e-27 
2.51189e-01 8.01510e+02 1.87109e-08 8.73178e-03 8.89457e-03 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 5.81791e-27 5.81883e-27 
2.81838e-01 8.20929e+02 2.37313e-08 7.89745e-03 8.05998e-03 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 6.12058e-27 6.12138e-27 
3.16228e-01 8.36494e+02 3.02568e-08 7.12512e-03 7.28740e-03 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 6.43854e-27 6.43893e-27 
3.54813e-01 8.48237e+02 3.87440e-08 6.41300e-03 6.57505e-03 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 6.77229e-27 6.77228e-27 
3.98107e-01 8.56403e+02 4.97671e-08 5.75909e-03 5.92093e-03 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 7.12153e-27 7.12319e-27 
4.46684e-01 8.61328e+02 6.40427e-08 5.16126e-03 5.32291e-03 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 7.48894e-27 7.48894e-27 
5.01187e-01 8.63621e+02 8.24253e-08 4.61686e-03 4.77834e-03 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 7.87249e-27 7.87304e-27 
5.62341e-01 8.63896e+02 1.05926e-07 4.12313e-03 4.28445e-03 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 8.27334e-27 8.27408e-27 
6.30957e-01 8.62813e+02 1.35702e-07 3.67695e-03 3.83813e-03 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 8.69173e-27 8.69152e-27 
7.07946e-01 8.61081e+02 1.73019e-07 3.27486e-03 3.43591e-03 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 9.12627e-27 9.12730e-27 
7.94328e-01 8.59109e+02 2.19292e-07 2.91352e-03 3.07445e-03 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 9.57805e-27 9.57825e-27 
8.91251e-01 8.57460e+02 2.75956e-07 2.58932e-03 2.75014e-03 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 1.00458e-26 1.00461e-26 
1.00000e+00 8.56564e+02 3.44468e-07 2.29898e-03 2.45972e-03 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 1.05294e-26 1.05297e-26 
1.12202e+00 8.56897e+02 4.26205e-07 2.03942e-03 2.20006e-03 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 1.10283e-26 1.10284e-26 
1.25893e+00 8.58923e+02 5.22431e-07 1.80768e-03 1.96825e-03 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 1.15416e-26 1.15415e-26 
1.41254e+00 8.63036e+02 6.34305e-07 1.60099e-03 1.76149e-03 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 1.20686e-26 1.20688e-26 
1.58489e+00 8.69493e+02 7.62946e-07 1.41678e-03 1.57722e-03 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 1.26093e-26 1.26091e-26 
1.77828e+00 8.78555e+02 9.09410e-07 1.25265e-03 1.41304e-03 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 1.31631e-26 1.31628e-26 
1.99526e+00 8.90422e+02 1.07479e-06 1.10647e-03 1.26682e-03 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 1.37300e-26 1.37297e-26 
2.23872e+00 9.05283e+02 1.26024e-06 9.76317e-04 1.13662e-03 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 1.43105e-26 1.43103e-26 
2.51189e+00 9.23327e+02 1.46707e-06 8.60453e-04 1.02072e-03 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 1.49053e-26 1.49051e-26 
2.81838e+00 9.44763e+02 1.69676e-06 7.57335e-04 9.17567e-04 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 1.55156e-26 1.55158e-26 
3.16228e+00 9.69788e+02 1.95109e-06 6.65604e-04 8.25805e-04 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 1.61434e-26 1.61436e-26 
3.54813e+00 9.98649e+02 2.23209e-06 5.84036e-04 7.44210e-04 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 1.67909e-26 1.67911e-26 
3.98107e+00 1.03162e+03 2.54215e-06 5.11546e-04 6.71695e-04 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 1.74612e-26 1.74614e-26 
4.46684e+00 1.06901e+03 2.88404e-06 4.47169e-04 6.07296e-04 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 1.81579e-26 1.81581e-26 
5.01187e+00 1.11119e+03 3.26099e-06 3.90049e-04 5.50156e-04 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 1.88857e-26 1.88859e-26 
5.62341e+00 1.15855e+03 3.67666e-06 3.39422e-04 4.99511e-04 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 1.96500e-26 1.96498e-26 
6.30957e+00 1.21160e+03 4.13526e-06 2.94604e-04 4.54677e-04 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 2.04566e-26 2.04568e-26 
7.07946e+00 1.27085e+03 4.64158e-06 2.54992e-04 4.15050e-04 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 2.13133e-26 2.13134e-26 
7.94328e+00 1.33695e+03 5.20106e-06 2.20041e-04 3.80085e-04 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.12468e-17 2.22279e-26 2.22281e-26 
