         nH         pok         xH2        xHII          xe      chi_pe      chi_lw      chi_h2      chi_ci       xi_cr     nLambda       Gamma 
1.00000e-02 1.50116e+02 7.76527e-11 3.77395e-01 3.77676e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-16 2.50418e-26 2.49640e-26 
1.12202e-02 1.65754e+02 8.99457e-11 3.63178e-01 3.63455e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-16 2.58872e-26 2.58263e-26 
1.25893e-02 1.82956e+02 1.04139e-10 3.49224e-01 3.49496e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-16 2.67025e-26 2.67075e-26 
1.41254e-02 2.02230e+02 1.20264e-10 3.35531e-01 3.35798e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-16 2.76086e-26 2.76030e-26 
1.58489e-02 2.23456e+02 1.38852e-10 3.22085e-01 3.22348e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-16 2.85107e-26 2.85170e-26 
1.77828e-02 2.46948e+02 1.60207e-10 3.08827e-01 3.09086e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-16 2.94440e-26 2.94485e-26 
1.99526e-02 2.72979e+02 1.84685e-10 2.95827e-01 2.96081e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-16 3.04614e-26 3.03972e-26 
2.23872e-02 3.01665e+02 2.12953e-10 2.82912e-01 2.83162e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-16 3.13690e-26 3.13675e-26 
2.51189e-02 3.33960e+02 2.44348e-10 2.71167e-01 2.71414e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-16 3.22979e-26 3.23496e-26 
2.81838e-02 3.69385e+02 2.81144e-10 2.58855e-01 2.59098e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-16 3.34323e-26 3.33555e-26 
3.16228e-02 4.08914e+02 3.22448e-10 2.47510e-01 2.47749e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-16 3.43137e-26 3.43731e-26 
3.54813e-02 4.52640e+02 3.70041e-10 2.36103e-01 2.36338e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-16 3.53800e-26 3.54127e-26 
3.98107e-02 5.01179e+02 4.24333e-10 2.25012e-01 2.25244e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 6.32456e-16 3.64622e-26 3.64706e-26 
